transaction_hash,user_address,timestamp,degen_swapped_value,min_ath_swapped_for
0xb550c8972a1b2fb19314e92c1cdf0bed285429ae8e9bf578b7cbdec7cfc2eaff,0x1CAE25A24e5aBA6759175620917001FF7Cb9Cb56,2024-04-19T20:23:22.000000Z,300000000000000000000,1904255907051911411668
0xd5bddcb849e489b8696eb1dedf7f6759c13a0927e2be06d47bb4b8e409ecf800,0x3b4998B2C5A386369336E0f4cE7aedA2DC876888,2024-04-19T19:54:08.000000Z,51450000000000000000000,340947138194854563644878
0xe67d75ee2683a4210e0b8556b8bfa8e8a2d378d189379a5543e6560fcb39dbe0,0xd137cbD64F1c3DE3eb7E14fD4cdfa87eBa909A29,2024-04-19T19:45:20.000000Z,55000000000000000000000,371808167999904375597756
0xd3d53eb9465bb19de845584c819fefc7ee7d02717faf50b7cbee895092db59da,0xB420daCc3A5F85D75303e2fC0F6E64CA705aeEc7,2024-04-19T19:31:50.000000Z,2551989997314730000000,18348812504878613685818
0xbc30ad4caef3fe04b04d68000ec883e6a34678a40eb0186110aab93e662531a6,0x374248801865eeb324A76ae9CbF5D10Cf6aA5e8a,2024-04-19T18:19:32.000000Z,10000000000000000000000,67127576604738336399599
0x7a9a4f85c1357a1b16a86835d5188fcfce04031e052506352932bcdce05c6d2c,0x00173C4cB23E6d876fcb036bA954A2F9cfCafA19,2024-04-19T18:13:56.000000Z,1737000000000000000000,11694016671307728332175
0x9f1b49d4bee8b265c5911544f2dccdeb57a5e415cfd48b99f0668be44064e38e,0xbd7bB0140B954427650868009d0b0B65fF7b4480,2024-04-19T17:53:07.000000Z,50000000000000000000000,348500795858669071549090
0x8007d47212ccb85d1b08181fcc80ceae3996ca1b82bac6d4132f9c3b30590a45,0xDC5b7B96dCf853a378bf7faaEab958CCc8DDCEd8,2024-04-19T16:13:02.000000Z,200000000000000000000,1574908134887537075809
0x0af5a99a7edbc35de44758cbcc6ec7aa952fa747050b29457f0ea7d4ac075d87,0x4702f25D0870fb2B3eFD50742d93243F57b7262b,2024-04-19T14:13:45.000000Z,10400000000000000000000,73233038704898535134954
0xf1818bf311475685088e185f296d9395af4011fd1694a11faa202fd69f1edaee,0x2d2CaDF39F7c1856fB15b8CB2d5A39808b2CBd89,2024-04-19T14:00:20.000000Z,4999989999790000000000,36097895810013223506020
0x6b000eb99ed19d4d9d0787224811a0bda24f0a82cf85d04c68fd466ea0934ebb,0x4702f25D0870fb2B3eFD50742d93243F57b7262b,2024-04-19T13:56:08.000000Z,10950000000000000000000,79305085504048456535269
0x83b12dd2cee7125e2e9d5fd45ba3618d38c789e28115ed2ec84847754f430d7a,0x153a62F346f5f6Cf59E3bA2F64d4a90f538D1e63,2024-04-19T12:30:54.000000Z,30000000000000000000000,238241231442972842357986
